year,age,males,females
2025,0,58571645,54529094
2025,5,61368389,56480995
2025,10,64429093,58806951
2025,15,66369850,60339329
2025,20,68036933,61765367
2025,25,65794156,59648618
2025,30,62475100,57303128
2025,35,58751433,54419837
2025,40,52873264,49166660
2025,45,45480452,42919097
2025,50,39188006,37771681
2025,55,32866161,32264621
2025,60,27151107,27111462
2025,65,21198458,21783736
2025,70,14864753,15979855
2025,75,8371700,9606052
2025,80,4271338,5342662
2025,85,1937944,2697156
2025,90,630783,936089
2025,95,130163,194407
2025,100,14714,23273
2050,0,48933693,46554623
2050,5,50966680,48462383
2050,10,53297913,50601433
2050,15,55241147,52273260
2050,20,56010431,52699463
2050,25,56589244,52707038
2050,30,59426905,54793686
2050,35,62157839,57008586
2050,40,63610349,58394477
2050,45,64840955,59867767
2050,50,61617291,57338189
2050,55,56414358,53799879
2050,60,50166603,49185803
2050,65,41507478,41810367
2050,70,31229179,32984634
2050,75,21851077,24639916
2050,80,13290255,16118571
2050,85,6692503,8777443
2050,90,2464995,3546007
2050,95,585090,917584
2050,100,78033,136121
2075,0,41092166,39062808
2075,5,42751230,40621381
2075,10,44307651,42094641
2075,15,45529327,43277258
2075,20,46137795,43891918
2075,25,47424313,45098304
2075,30,49545388,47097163
2075,35,51779104,49210596
2075,40,53565558,50863388
2075,45,54470954,51610393
2075,50,54529469,51447848
2075,55,55836701,52625846
2075,60,56238005,53389931
2075,65,54373502,52546954
2075,70,50499454,50326269
2075,75,41312606,42970425
2075,80,29573112,32997179
2075,85,17519368,21352805
2075,90,7521419,10201075
2075,95,2036458,3158703
2075,100,337154,634678
2100,0,34235974,32530872
2100,5,35478464,33691196
2100,10,36644404,34779419
2100,15,37677871,35761611
2100,20,38527519,36587881
2100,25,39904115,37867405
2100,30,41674151,39515007
2100,35,43241159,41006026
2100,40,44475267,42234958
2100,45,45465128,43267931
2100,50,46574611,44463736
2100,55,47838215,45916975
2100,60,48773242,47173081
2100,65,48623975,47482010
2100,70,46491128,46007049
2100,75,41956937,42270664
2100,80,35867768,37179657
2100,85,26354149,28680864
2100,90,14909031,17564054
2100,95,5701214,7510260
2100,100,1295459,2051314
